ResourceType      Locations      Name                  Zones    Restrictions
----------------  -------------  --------------------  -------  --------------------------------------------------------------------------------------------------------------------------------------------------------
availabilitySets  southeastasia  Aligned                        None
availabilitySets  southeastasia  Classic                        None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  Premium_LRS           1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  StandardSSD_LRS       1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  Standard_LRS          1,2,3    None
disks             southeastasia  UltraSSD_LRS          1,2,3    None
hostGroups/hosts  southeastasia  DASv4-Type1           1,2,3    None
hostGroups/hosts  southeastasia  DCSv2-Type1           2,3      None
hostGroups/hosts  southeastasia  DDSv4-Type1           1,2,3    None
hostGroups/hosts  southeastasia  DSv3-Type1            1,2,3    None
hostGroups/hosts  southeastasia  DSv3-Type2            1,2,3    None
hostGroups/hosts  southeastasia  DSv3-Type3            1,2,3    None
hostGroups/hosts  southeastasia  DSv4-Type1            1,2,3    None
hostGroups/hosts  southeastasia  EASv4-Type1           1,2,3    None
hostGroups/hosts  southeastasia  EDSv4-Type1           1,2,3    None
hostGroups/hosts  southeastasia  ESv3-Type1            1,2,3    None
hostGroups/hosts  southeastasia  ESv3-Type2            1,2,3    None
hostGroups/hosts  southeastasia  ESv3-Type3            1,2,3    None
hostGroups/hosts  southeastasia  ESv4-Type1            1,2,3    None
hostGroups/hosts  southeastasia  FSv2-Type2            1,2,3    None
hostGroups/hosts  southeastasia  FSv2-Type3            1,2,3    None
hostGroups/hosts  southeastasia  LSv2-Type1            1,2,3    None
hostGroups/hosts  southeastasia  Mdmsv2MedMem-Type1    1,2      None
hostGroups/hosts  southeastasia  Mdsv2MedMem-Type1     1,2      None
hostGroups/hosts  southeastasia  Mmsv2MedMem-Type1     1,2      None
hostGroups/hosts  southeastasia  MS-Type1              1,2      None
hostGroups/hosts  southeastasia  MSm-Type1             1,2      None
hostGroups/hosts  southeastasia  MSmv2-Type1           1,2      None
hostGroups/hosts  southeastasia  MSv2-Type1            1,2      None
hostGroups/hosts  southeastasia  Msv2MedMem-Type1      1,2      None
hostGroups/hosts  southeastasia  NVASv4-Type1          2        None
hostGroups/hosts  southeastasia  NVSv3-Type1           2        None
snapshots         southeastasia  Premium_LRS                    None
snapshots         southeastasia  Standard_LRS                   None
snapshots         southeastasia  Standard_ZRS                   None
virtualMachines   southeastasia  Standard_A1_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_A2m_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_A2_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_A4m_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_A4_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_A8m_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_A8_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B12ms        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B16ms        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B1ls         1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B1ms         1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B1s          1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B20ms        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B2ms         1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B2s          1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B4ms         1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_B8ms         1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D11_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D12_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D13_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D14_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D16ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D16d_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D16s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D16s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D16_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D16_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D1_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D2ds_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D2d_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D2s_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D2s_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D2_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D2_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D2_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
